card_name,card_id,image_id,image_index,image_url,filename,status
Caligo Claw Crow,67692580,67692580,1,https://images.ygoprodeck.com/images/cards/67692580.jpg,67692580-caligo-claw-crow.jpg,downloaded
"Calcab, Malebranche of the Burning Abyss",73213494,73213494,1,https://images.ygoprodeck.com/images/cards/73213494.jpg,73213494-calcab-malebranche-of-the-burning-abyss.jpg,downloaded
Call of the Atlanteans,73199638,73199638,1,https://images.ygoprodeck.com/images/cards/73199638.jpg,73199638-call-of-the-atlanteans.jpg,downloaded
Call of the Earthbound,65743242,65743242,1,https://images.ygoprodeck.com/images/cards/65743242.jpg,65743242-call-of-the-earthbound.jpg,downloaded
Call of the Grave,16970158,16970158,1,https://images.ygoprodeck.com/images/cards/16970158.jpg,16970158-call-of-the-grave.jpg,downloaded
Call of the Forgotten,80749819,80749819,1,https://images.ygoprodeck.com/images/cards/80749819.jpg,80749819-call-of-the-forgotten.jpg,downloaded
Call of the Haunted,97077563,97077563,1,https://images.ygoprodeck.com/images/cards/97077563.jpg,97077563-call-of-the-haunted.jpg,downloaded
Call of the Mummy,4861205,4861205,1,https://images.ygoprodeck.com/images/cards/4861205.jpg,4861205-call-of-the-mummy.jpg,downloaded
Call of the Haunted (Skill Card),300101003,300101003,1,https://images.ygoprodeck.com/images/cards/300101003.jpg,300101003-call-of-the-haunted-skill-card.jpg,downloaded
Call of the Reaper,45133463,45133463,1,https://images.ygoprodeck.com/images/cards/45133463.jpg,45133463-call-of-the-reaper.jpg,downloaded
Called by the Grave,24224830,24224830,1,https://images.ygoprodeck.com/images/cards/24224830.jpg,24224830-called-by-the-grave.jpg,downloaded
Calming Magic,51773900,51773900,1,https://images.ygoprodeck.com/images/cards/51773900.jpg,51773900-calming-magic.jpg,downloaded
"Camelot, Realm of Noble Knights and Noble Arms",15635751,15635751,1,https://images.ygoprodeck.com/images/cards/15635751.jpg,15635751-camelot-realm-of-noble-knights-and-noble-arms.jpg,downloaded
"Candelato, the Beast of Light",100456003,100456003,1,https://images.ygoprodeck.com/images/cards/100456003.jpg,100456003-candelato-the-beast-of-light.jpg,downloaded
Cameraclops,5244497,5244497,1,https://images.ygoprodeck.com/images/cards/5244497.jpg,5244497-cameraclops.jpg,downloaded
Candle of Fate,47695416,47695416,1,https://images.ygoprodeck.com/images/cards/47695416.jpg,47695416-candle-of-fate.jpg,downloaded
Caninetaur,91754175,91754175,1,https://images.ygoprodeck.com/images/cards/91754175.jpg,91754175-caninetaur.jpg,downloaded
Cannon Soldier,11384280,11384280,1,https://images.ygoprodeck.com/images/cards/11384280.jpg,11384280-cannon-soldier.jpg,downloaded
Cannon Soldier MK-2,14702066,14702066,1,https://images.ygoprodeck.com/images/cards/14702066.jpg,14702066-cannon-soldier-mk-2.jpg,downloaded
Cannonball Spear Shellfish,95614612,95614612,1,https://images.ygoprodeck.com/images/cards/95614612.jpg,95614612-cannonball-spear-shellfish.jpg,downloaded
Canon the Melodious Diva,16021142,16021142,1,https://images.ygoprodeck.com/images/cards/16021142.jpg,16021142-canon-the-melodious-diva.jpg,downloaded
Canopic Protector,1490690,1490690,1,https://images.ygoprodeck.com/images/cards/1490690.jpg,1490690-canopic-protector.jpg,downloaded
Canyon,28120197,28120197,1,https://images.ygoprodeck.com/images/cards/28120197.jpg,28120197-canyon.jpg,downloaded
Capacitor Stalker,29716911,29716911,1,https://images.ygoprodeck.com/images/cards/29716911.jpg,29716911-capacitor-stalker.jpg,downloaded
Capricious Darklord,55289183,55289183,1,https://images.ygoprodeck.com/images/cards/55289183.jpg,55289183-capricious-darklord.jpg,downloaded
Capshell,76722334,76722334,1,https://images.ygoprodeck.com/images/cards/76722334.jpg,76722334-capshell.jpg,downloaded
Caravan of the Ice Barrier,37806313,37806313,1,https://images.ygoprodeck.com/images/cards/37806313.jpg,37806313-caravan-of-the-ice-barrier.jpg,downloaded
Carboneddon,15981690,15981690,1,https://images.ygoprodeck.com/images/cards/15981690.jpg,15981690-carboneddon.jpg,downloaded
Card Advance,52112003,52112003,1,https://images.ygoprodeck.com/images/cards/52112003.jpg,52112003-card-advance.jpg,downloaded
Card Blocker,42256406,42256406,1,https://images.ygoprodeck.com/images/cards/42256406.jpg,42256406-card-blocker.jpg,downloaded
Card Breaker,51047350,51047350,1,https://images.ygoprodeck.com/images/cards/51047350.jpg,51047350-card-breaker.jpg,downloaded
Card Destruction,72892473,72892473,1,https://images.ygoprodeck.com/images/cards/72892473.jpg,72892473-card-destruction.jpg,downloaded
Card of Demise,59750328,59750328,1,https://images.ygoprodeck.com/images/cards/59750328.jpg,59750328-card-of-demise.jpg,downloaded
Card of Fate,74191528,74191528,1,https://images.ygoprodeck.com/images/cards/74191528.jpg,74191528-card-of-fate.jpg,downloaded
Card Ejector,26701483,26701483,1,https://images.ygoprodeck.com/images/cards/26701483.jpg,26701483-card-ejector.jpg,downloaded
Card Guard,4694209,4694209,1,https://images.ygoprodeck.com/images/cards/4694209.jpg,4694209-card-guard.jpg,downloaded
